Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
27.08.2021;K203696;RBknee;Radiobotics ApS;Radiology;LLZ;K192109
20.08.2021;K211846;Discovery MI Gen2;GE Medical Systems, LLC.;Radiology;KPS;K161574
16.08.2021;K212230;TruSPECT  Radiological Image Processing Station;Spectrum Dynamics Medical Ltd;Radiology;LLZ;K212203
12.08.2021;K211179;InferRead CT Stroke.AI;Infervision Medical Technology Co., Ltd.;Radiology;QAS;K180647
11.08.2021;K203448;uCT ATLAS with uWS-CT-Dual Energy Analysis;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;JAK;K172135 K161009 K193073 K132813 K120833
06.08.2021;K211764;Vereos PET/CT;Philips Medical Systems Nederland B.V.;Radiology;KPS;K210880 K133657
06.08.2021;K212100;Kosmos;EchoNous, Inc.;Radiology;IYN;K193518 K202035
02.08.2021;K211431;breastscape v1.0;Olea Medical;Radiology;QIH;K132316 K152602
30.07.2021;K211379;syngo.via RT Image Suite;Siemens Medical Solutions USA Inc.;Radiology;MUJ;K201444
30.07.2021;K211222;qER-Quant;Qure.ai Technologies;Radiology;QIH;K181939
27.07.2021;K212074;ClariCT.AI;ClariPi Inc.;Radiology;LLZ;K183460
27.07.2021;K210791;Us2.v1;eko.ai Pte. Ltd. d/b/a Us2.ai;Radiology;QIH;K173780
27.07.2021;K211279;Volpara Imaging Software;Volpara Health Technologies Limited;Radiology;LLZ;K182310
27.07.2021;K211655;aPROMISE;EXINI Diagnostics AB;Radiology;LLZ;K191262
23.07.2021;K211951;GI Genius;Cosmo Artificial Intelligence - AI Ltd;Gastroenterology-Urology;QNP;K200055
20.07.2021;K210719;Change Healthcare Anatomical AI;Change Healthcare Canada Company;Radiology;QIH;K061214
20.07.2021;K211906;Vital Signs;Oxehealth Limited;Cardiovascular;QME;DEN200019
20.07.2021;K210666;Chest-CAD;Imagen Technologies, Inc;Radiology;MYN;P000041
12.07.2021;K211506;PowerLook Density Assessment V4.0;iCAD, Inc.;Radiology;QIH;K180125
08.07.2021;K211788;HALO;Nico.Lab B.V.;Radiology;QAS;K200873
01.07.2021;K210611;MAGNETOM Free.Max;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K183221 K202014 K082331
29.06.2021;K210645;RayStation 10.1;RaySearch Laboratories AB (publ);Radiology;MUJ;K200569 K203172 K181145
17.06.2021;K203514;Precise Position;Philips Healthcare (Suzhou) Co., Ltd.;Radiology;JAK;K180015
16.06.2021;K210034;EnsoSleep;EnsoData, Inc.;Neurology;OLZ;K162627 K210034
16.06.2021;K202718;Qmenta Care Platform Family;Mint Labs, Inc., d/b/a. QMENTA;Radiology;LLZ;K142337
11.06.2021;K210484;LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System;Medtronic, Inc.;Cardiovascular;MXD;K200795
10.06.2021;K211459;syngo.via MI WorkFlows, Scenium, syngo MBF;Siemens Medical Solutions USA, Inc.;Radiology;QIH;K201195
10.06.2021;K203629;IDx-DR;Digital Diagnostics Inc.;Ophthalmic;PIB;DEN180001
08.06.2021;K210458;OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System;Abbott Medical;Radiology;NQQ;K192019
02.06.2021;K210404;Transpara 1.7.0;ScreenPoint Medical B.V.;Radiology;QDQ;K193229
21.05.2021;K202527;Zio ECG Utilization Software (ZEUS) System;iRhythm Technologies, Inc.;Cardiovascular;DQK;K190593
19.05.2021;K210187;Overjet Dental Assist;Overjet, Inc.;Radiology;LLZ;K192888
19.05.2021;K210237;CINA CHEST;Avicenna.AI;Radiology;QAS;K190072
13.05.2021;K210426;HS40 Diagnostic Ultrasound System;Samsung Medison CO., LTD.;Radiology;IYN;K200339 K200232
13.05.2021;K211118;SIGNA 7.0T;GE Medical Systems, LLC;Radiology;LNH;K201615
30.04.2021;K210001;HYPER AiR;Shanghai United Imaging Healthcare Co.,Ltd.;Radiology;KPS;K193241
23.04.2021;K203502;MEDO-Thyroid;MEDO DX Pte. Ltd.;Radiology;QIH;Kl91647
23.04.2021;K203314;Cartesion Prime (PCD-1000A/3) V10.8;Canon Medical Systems Corporation;Radiology;KPS;K202349
21.04.2021;K210556;Preview Shoulder;Genesis Software Innovations;Radiology;QIH;K182464
20.04.2021;K203610;Automatic Anatomy Recognition (AAR);Quantitative Radiology Solutions, LLC;Radiology;QKB;K191928
19.04.2021;K203469;AI Segmentation;Varian Medical Systems, Inc.;Radiology;MUJ;Kl41248
16.04.2021;K203517;Saige-Q;DeepHealth, Inc.;Radiology;QFM;K183285
14.04.2021;K202992;BriefCase, RIB Fractures Triage (RibFx);Aidoc Medical, Ltd.;Radiology;QFM;K190072
02.04.2021;K202928;DV. Target;Deepvoxel INC;Radiology;QKB;K181572
02.04.2021;K202441;Eclipse II with Smart Noise Cancellation;Carestream Health, Inc.;Radiology;MQB;K180809
31.03.2021;K210071;SIS System (Version 5.1.0);Surgical Information Sciences, Inc.;Radiology;LLZ;K192304
31.03.2021;K203443;MAGNETOM Vida, MAGNETOM Sola, MAGNETOM Lumina, MAGNETOM Altea;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K192924
31.03.2021;K203258;syngo.CT Lung CAD;Siemens Healthcare GmbH;Radiology;OEB;K193216
24.03.2021;K203225;Aquilion ONE (TSX-306A/3) V10.4 with Spectral Imaging System;Canon Medical Systems Corporation;Radiology;JAK;K192828
23.03.2021;K210209;Viz ICH;Viz.ai, Inc.;Radiology;QAS;K193658
19.03.2021;K203235;VBrain;Vysioneer Inc.;Radiology;QKB;K191928
12.03.2021;K202284;Oncospace;Oncospace, Inc.;Radiology;MUJ;K142108
12.03.2021;K203822;ProFound AI Software V3.0;iCAD Inc.;Radiology;QDQ;K191994
09.03.2021;K203256;Imbio RV/LV Software;Imbio, LLC;Radiology;QIH;K111373
05.03.2021;K202300;Optellum Virtual Nodule Clinic, Optellum software, Optellum platform;Optellum Ltd;Radiology;POK;DEN170022
04.03.2021;K203323;Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K192574
02.03.2021;K203617;MaxFOV 2;GE Medical Systems, LLC.;Radiology;JAK;K023332
26.02.2021;K203182;SubtleMR;Subtle Medical, Inc.;Radiology;LLZ;K191688
25.02.2021;K202990;NinesMeasure;Nines, Inc.;Radiology;LLZ;K162484
25.02.2021;K203578;OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System;Perimeter Medical Imaging AI, Inc.;Radiology;NQQ;K190404
19.02.2021;K202212;TruPlan;Circle Cardiovascular Imaging Inc.;Radiology;LLZ;K153736
09.02.2021;K203103;Synapse 3D, Synapse 3D Base Tools v6.1;Fujifilm Corporation;Radiology;LLZ;K120361
05.02.2021;K210053;LVivo Software Application;DiA Imaging Analysis Ltd;Radiology;QIH;K200232
04.02.2021;K203582;QUIBIM Precision Prostate (qp-Prostate);QUIBIM S.L.;Radiology;LLZ;K152602
29.01.2021;K201411;Visage Breast Density;Visage Imaging GmbH;Radiology;QIH;K180125
15.01.2021;K193271;uAI EasyTriage-Rib;Shanghai United Imaging Intelligence Co., Ltd.;Radiology;QFM;K192901
15.01.2021;K202767;Vantage Orian 1.5T, MRT-1550, V6.0;Canon Medical Systems Corporation;Radiology;LNH;K193097 K193021
14.01.2021;K202700;ART-Plan;TheraPanacea;Radiology;QKB;K191928 K130393 K181572 K071964
12.01.2021;K203280;Hepatica v1 (Hepatica v1.0.0);Perspectum Ltd.;Radiology;LNH;K202170
12.01.2021;K201836;Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i;Canon Medical Systems Corporation;Radiology;JAK;K170019 K192832
09.01.2021;K200717;CLEWICU System (ClewICUServer and ClewICUnitor);CLEW Medical Ltd.;Cardiovascular;QNL;"DEN160044, 
K183646, K190205"
08.01.2021;K203329;HeartFlow Analysis;HeartFlow, Inc.;Cardiovascular;PJA;K190925
07.01.2021;K202414;BrainInsight;Hyperfine Research, Inc;Radiology;LLZ;K170981
29.12.2020;K203508;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K190896
22.12.2020;K202229;AI Metrics;AI Metrics, LLC;Radiology;LLZ;K142647
18.12.2020;K201555;EchoGo Pro;Ultromics Ltd;Radiology;POK;K190442
10.12.2020;K203042;Aquilion Exceed LB (TSX-202A/3) V10.6 with AiCE-I;Canon Medical Systems Corporation;Radiology;JAK;K192832 K150003
10.12.2020;K201745;Deep Learning Image Reconstruction for Gemstone Spectral Imaging;GE Medical Systems, LLC;Radiology;JAK;K183202
07.12.2020;K201039;HepaFat-AI;Resonance Health Analysis Services Pty Ltd;Radiology;LNH;K122035
04.12.2020;K202487;HealthJOINT;Zebra Medical Vision Ltd.;Radiology;LLZ;K183544
20.11.2020;K193287;CorInsights MRI;ADM Diagnostics, Inc.;Radiology;LLZ;K170981
20.11.2020;K200873;HALO;NICo-Lab B.V.;Radiology;QAS;DEN170073
20.11.2020;K203169;Revolution Ascend;GE Healthcare Japan Corporation;Radiology;JAK;K192686
18.11.2020;K201019;Genius AI Detection;Hologic, Inc.;Radiology;QDQ;K182373
18.11.2020;K201195;syngo.via MI Workflows, syngo MBF;Siemens Medical Solutions USA, Inc.;Radiology;QIH;K191309 K110494
17.11.2020;K193306;PROView;GE Medical Systems SCS;Radiology;LLZ;K192200
12.11.2020;K201985;KardiaAI;AliveCor, Inc.;Cardiovascular;DQK;K181823
12.11.2020;K193289;FastStroke, CT Perfusion 4D;GE Medical Systems SCS;Radiology;JAK;K163281
06.11.2020;K193562;AI-Rad Companion Organs RT;Siemens Medical Solutions USA, Inc.;Radiology;QKB;K191928
06.11.2020;K200750;Neuro.Al Algorithm;TeraRecon, Inc.;Radiology;LLZ;K131447
30.10.2020;K202013;WRDensity by Whiterabbit.ai;Whiterabbit.ai Inc.;Radiology;QIH;K192973
30.10.2020;K200323;AutoContour;Radformation, Inc.;Radiology;QKB;K130393 K181572
28.10.2020;K202089;LensHooke X1 PRO Semen Quality Analyzer, LensHooke X1 PRO SE Semen Quality Analyzer;Bonraybio Co., Ltd.;Hematology;POV;k180343
16.10.2020;K200595;CellaVision DC-1, CellaVision DC-1 PPA;CellaVision AB;Hematology;JOY;K092868
16.10.2020;K201710;A View LCS;Coreline Soft Co., Ltd.;Radiology;LLZ;K162484
15.10.2020;K201615;SIGNA 7.0T;GE Medical Systems, LLC;Radiology;LNH;K193282
11.10.2020;K202501;Quantib Prostate;Quantib BV;Radiology;LLZ;K192200
09.10.2020;K193631;Stethee Pro 1, Stethee Pro Software System;M3DICINE Pty Ltd.;Cardiovascular;DQD;K172296
02.10.2020;K202280;Cleerly Labs v2.0;Cleerly, Inc.;Radiology;LLZ;K190868
02.10.2020;K202170;LiverMultiScan;Perspectum LTD;Radiology;LNH;K190017
02.10.2020;K201301;X100 with Full Field Peripheral Blood Smear (PBS) Application;Scopio Labs LTD.;Hematology;JOY;K092116
30.09.2020;K192051;THINQ;CorticoMetrics LLC;Radiology;LLZ;K170981
29.09.2020;K202546;LVivo Seamless;DiA Imaging Analysis Ltd;Radiology;QIH;K200232
25.09.2020;K201103;Xeleris V Processing and Review Systems;GE Healthcare;Radiology;LLZ;K153355,K191262,K133649
24.09.2020;K200569;RayStation;RaySearch Laboratories AB (publ);Radiology;MUJ;K190387
18.09.2020;K201992;Caption Guidance;Caption Health;Radiology;QJU;K200755
18.09.2020;K200852;EchoPAC Software Only, EchoPAC Plug-In;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;LLZ;K170847,K182450,K181685,K200743
16.09.2020;K201369;AVA (Augmented Vascular Analysis);See-Mode Technologies Pte. Ltd.;Radiology;LLZ;K122022,K180647,K170568,K163253
16.09.2020;K201298;VX1;Volta Medical;Cardiovascular;DQK;K093566,K141185,K130626
15.09.2020;K192665;Accelerate Pheno System, Accelerate PhenoTest BC Kit;Accelerate Diagnostics, Inc.;Microbiology;PRH;DEN160032
09.09.2020;K200851;Vivid T8, Vivid T9;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K181934,K181727,K160078,K181685,K191792,K200497,
09.09.2020;K200708;Vivid iq;GE Medical Systems Ultrasound and;Radiology;IYN;K181727,K160078,K181685,K191792,K200497,
06.09.2020;K201841;EyeBOX;Oculogica, Inc.;Neurology;QEA;K191183
04.09.2020;K202238;SIGNA Artist;GE Healthcare (Tianjin) Company Limited;Radiology;LNH;K163331,K193282
02.09.2020;K200833;RX-1 Rhythm Express Remote Cardiac Monitoring System;VivaQuant Inc.;Cardiovascular;MLO;K183704,K152550
26.08.2020;K201020;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K190072
26.08.2020;K200714;AVIEW;Coreline Soft Co., Ltd;Radiology;LLZ;K171199,K141069,K193220,K183268,K990426 ,K043617
14.08.2020;K201632;TOMTEC-ARENA;TOMTEC Imaging Systems GmbH;Radiology;LLZ;K150122,K200974,K191647
13.08.2020;K201232;Limbus Contour;Limbus AI Inc.;Radiology;LLZ;K173420
13.08.2020;K201444;Syngo.via RT Image Suite;Siemens Medical Solutions USA, Inc.;Radiology;MUJ;K192065
07.08.2020;K200990;VIDAvision;VIDA Diagnostics Inc.;Radiology;JAK;K083227
07.08.2020;K201310;Accipiolx;MaxQ Al Ltd.;Radiology;QAS;K182177
04.08.2020;K193210;HYPER DLR;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPS;K182237,K172143
03.08.2020;K200667;EyeArt;Eyenuk, Inc;Ophthalmic;PIB;DEN180001
30.07.2020;K193283;AI-Rad Companion Prostate MR;Siemens Medical Solutions USA Inc.;Radiology;QIH;K180336
30.07.2020;K193417;FractureDetect (FX);Imagen Technologies, Inc.;Radiology;QBS;DEN180005
23.07.2020;K200743;Vivid E80/ Vivid E90/ Vivid E95;GE Medical Systems Ultrasound and;Radiology;IYN;K051449,K150087,K170823,K163077,K181685
22.07.2020;K200621;Caption Interpretation Automated Ejection Fraction Software;Caption Health;Radiology;QIH;K173780
16.07.2020;K200497;Vivid S60N, Vivid S70N;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K182450,K181685,K163077,K170878,K051449
16.07.2020;K200905;HealthMammo;Zebra Medical Vision Ltd.;Radiology;QFM;K183285
14.07.2020;K193097;Vantage Orian 1.5T, MRT-1550, V6.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K193021,K192574
10.07.2020;K192969;Ezra Plexo Software;Ezra AI Inc.;Radiology;QIH;K173542
10.07.2020;K193294;AI-Rad Companion Engine;Siemens Medical Solutions USA, Inc.;Radiology;LLZ;K183272
09.07.2020;K200941;Rapid LVO;iSchemaView Inc.;Radiology;QAS;K193087
06.07.2020;K193073;Deep Recon;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;JAK;K172135,K183202
02.07.2020;K192880;InferRead Lung CT.AI;Beijing Infervision Technology Co.,Ltd.;Radiology;OEB;K161201
02.07.2020;K193252;Contour ProtegeAI;MIM Software Inc.;Radiology;QKB;K181572,K190379
26.06.2020;K200760;Rapid ASPECTS;iSchemaView Inc.;Radiology;POK;DEN170022
24.06.2020;K200855;CINA;AVICENNA.AI;Radiology;QAS;K180647,DEN170073
23.06.2020;K200232;LVivo Software Application;DiA Imaging Analysis Ltd;Radiology;QIH;K132544,K161382,K130779,K180995
19.06.2020;K193298;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K180647
17.06.2020;K193290;AI-Rad Companion Brain MR;Siemens Medical Solutions USA, Inc.;Radiology;LLZ;K182904
17.06.2020;K200921;qER;Qure.ai Technologies;Radiology;QAS;K180647,K190896
11.06.2020;K200356;MEDO ARIA;Medo.ai;Radiology;QIH;K191647
11.06.2020;K200980;Auto 3D Bladder Volume Tool;Butterfly Network, Inc.;Radiology;IYO;K172356
03.06.2020;K200974;QLAB Advanced Quantification Software;Philips Healthcare;Radiology;QIH;K191647,K150122,K181264
01.06.2020;K192601;uWS-MR;Shanghai United Imaging Healthcare Co., Ltd;Radiology;QIH;K183164,K141480,K153022
14.05.2020;K201034;Syngo.CT CaScoring;Siemens Medical Solutions USA, Inc.;Radiology;JAK;K192763
12.05.2020;K192901;HealthVCF;Zebra Medical Vision Ltd.;Radiology;QFM;K183285
05.05.2020;K193220;AVIEW LCS;Coreline Soft Co., Ltd;Radiology;LLZ;K162484,K151283,K171199
05.05.2020;K193176;uMR 780;Shanghai United Imaging Healthcare Co., Ltd;Radiology;LNH;K191157
01.05.2020;K201012;EPIQ Diagnostic Ultrasound System Series, Affiniti Diagnostic Ultrasound System Series, CX50 Diagnostic Ultrasound System, Sparq Diagnostic Ultrasound System, Lumify Diagnostic Ultrasound System;Philips Ultrasound, Inc.;Radiology;IYN;K192226,K182857,K182857,K162329,K162329,K191647
21.04.2020;K193351;NinesAI;Nines, Inc.;Radiology;QAS;K180647
16.04.2020;K200755;Caption Guidance;Caption Health;Radiology;QJU;DEN190040
13.04.2020;K192167;CuraRad-ICH;CuraCloud Corp.;Radiology;QAS;K182177
10.04.2020;K193282;SIGNA Premier;GE Healthcare (GE Medical Systems, LLC);Radiology;LNH;K183231
08.04.2020;K193300;AIMI-Triage CXR PTX;RADLogics, Inc.;Radiology;QFM;K190362
31.03.2020;K193087;Rapid ICH;iSchemaView Incorporated;Radiology;QAS;K180647
26.03.2020;K192732;BodyGuardian Remote Monitoring System;Preventice Technologies, Inc.;Cardiovascular;DSI;K151188
26.03.2020;K193518;KOSMOS;EchoNous, Inc.;Radiology;IYN;K180995,K170874
25.03.2020;K192437;Arterys MICA;Arterys Inc.;Radiology;QIH;K182034,K140587
25.03.2020;K192854;MammoScreen;Therapixel;Radiology;QDQ;K181704
20.03.2020;K200036;AI-ECG Tracker;Shenzhen Carewell Electronics Co., Ltd.;Cardiovascular;DPS;K113485,K062282
20.03.2020;K193281;Hepatic VCAR;GE Medical Systems SCS;Radiology;JAK;K133649,K110834,K041521,K081985
18.03.2020;K193658;Viz ICH;Viz.ai, Inc.;Radiology;QAS;K180647
16.03.2020;K193267;Al-Rad Companion (Musculoskeletal);Siemens Medical Solutions USA, Inc.;Radiology;JAK;K123585,K183268
12.03.2020;K192388;SonoVision Ultrasound Imaging System;Tissue Differentiation Intelligence, LLC;Radiology;IYN;K132736,K153277
09.03.2020;K192574;Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K181593
09.03.2020;K193216;syngo.CT Lung CAD;Siemens Medical Solutions, Inc;Radiology;OEB;K143196,K191309,K191040
05.03.2020;K193229;Transpara;ScreenPoint Medical B.V.;Radiology;QDQ;K181704,K192287
04.03.2020;K191550;Broncholab;Fluidda Inc.;Radiology;JAK;K083227
28.02.2020;K191556;Red Dot;Behold.AI Technologies Limited;Radiology;QFM;K190362
28.02.2020;K192962;icobrain-ctp;Icometrix NV;Radiology;LLZ;K180161
28.02.2020;K191928;AccuContour;Xiamen Manteia Technology LTD.;Radiology;QKB;K182624
21.02.2020;K192832;Aquilion Prime SP (TSX-303B8) V10.2 with AiCE-i;Canon Medical Systems Corporation;Radiology;JAK;K172188
19.02.2020;K192973;densitas densityai;Densitas, Inc.;Radiology;LLZ;K170540
14.02.2020;K193248;Biograph Vision, Biograph mCT Family of PET/CTs;Siemens Medical Solutions USA, Inc;Radiology;KPS;K190900 ,K173578
13.02.2020;K192828;Aquilion ONE (TSX-306A/3) V10.0 with Spectral Imaging System;Canon Medical Systems Corporation;Radiology;JAK;K192188
12.02.2020;K193178;Biograph Horizon;Siemens Medical Solution USA, Inc.;Radiology;KPS;K193178
10.02.2020;K192377;Ethos Treatment Management, Ethos Treatment Planning, Ethos Radiotherapy System, Halcyon;Varian Medical Systems, Inc.;Radiology;IYE;K173838,K181145,K181032,K181032
24.01.2020;K193109;MRCAT brain;Philips Medical Systems MR Finland;Radiology;MUJ;K182888
17.01.2020;K192415;Study Watch with Irregular Pulse Monitor;Verily Life Sciences LLC;Cardiovascular;DXH;K182456
16.01.2020;K192956;Auto Positioning;GE Hangwei Medical Systems, Co., Ltd.;Radiology;JAK;K192956
15.01.2020;K191125;ADAS 3D;Galgo Medical S.L;Radiology;LLZ;K140587
15.01.2020;K192004;Eko Analysis Software;Eko Devices Inc;Cardiovascular;MWI;K170798
02.01.2020;K183089;Air Next;NuvoAir AB;Anesthesiology;BZG;K072979 ,K061712
20.12.2019;K191647;QLAB Advanced Quantification Software;Philips Healthcare;Radiology;QIH;K181264
20.12.2019;K192383;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K180647
17.12.2019;K192763;syngo.CT CaScoring;Siemens Medical Solutions USA, Inc.;Radiology;JAK;K990426 ,K172983
13.12.2019;K192531;QyScore Software;Qynapse;Radiology;LLZ;K170981
13.12.2019;K192130;Icobrain;Icometrix NV;Radiology;LLZ;K181939
11.12.2019;K192571;NemoScan;Software Nemotec S.L.;Radiology;LLZ;K192571
10.12.2019;K192287;Transpara;Screenpoint Medical B.V.;Radiology;QDQ;K181704
09.12.2019;K192442;FFRangio;CathWorks Ltd;Cardiovascular;QEK;K182149
07.12.2019;K192279;PhantomMSK Trauma;OrthoGrid Systems Inc.;Radiology;LLZ;K182332
27.11.2019;K192945;7D Surgical System Cranial Biopsy and Ventricular Catheter Placement Application;7D Surgical Inc.;Neurology;HAW;K181041
26.11.2019;K192320;HealthCXR;Zebra Medical Vision, Ltd.;Radiology;QFM;K190362
25.11.2019;K190529;SOZO;ImpediMed Limited;Gastroenterology/Urology;QJB;K172507
19.11.2019;K191278;RSI-MRI+;MultiModal Imaging Services Corporation (dba HealthLytix);Radiology;LLZ;K173744
13.11.2019;K191171;EchoGo Core;Ultromics Ltd;Radiology;QIH;K150122 ,K173780
07.11.2019;K191026;MEDIP PRO;MEDICALIP Co., Ltd;Radiology;LLZ;K173619
05.11.2019;K192109;KOALA;IB Lab GmbH;Radiology;LLZ;K172327
05.11.2019;K190868;Cleerly Labs;Cleerly Inc;Radiology;LLZ;K122429
04.11.2019;K190013;WellDoc BlueStar;WellDoc, Inc.;General Hospital;MRZ;K162532
01.11.2019;K190334;MIMOSA Imager;MIMOSA Diagnostics Inc;Cardiovascular;MUD;K042657
01.11.2019;K190898;Sight OLO;Sight Diagnostics Ltd.;Hematology;GKZ;K112605
18.10.2019;K183274;RTHawk, HeartVista Cardiac Package;HeartVista, Inc.;Radiology;LNH;K170090
17.10.2019;K192455;Merge PACS;Merge Healthcare Incorporated;Radiology;LLZ;K173475
16.10.2019;K191493;Ventripoint Medical System Plus (VMS+) 3.0;Ventripoint Diagnostics, Ltd.;Radiology;LLZ;K173810
04.10.2019;K191994;ProFound AI Software V2.1;iCAD Inc.;Radiology;QDQ;K182373
04.10.2019;K191713;CS-series-FP Radiographic / Fluoroscopic Systems with Optional CA-100S / FluoroShield (ROI Assembly);Omega Medical Imaging, LLC;Radiology;JAA;K182834
18.09.2019;K192065;Syngo.Via RT Image Suite;Siemens Medical Solutions USA, Inc.;Radiology;MUJ;K173635
16.09.2019;K191688;SubtleMR;Subtle Medical, Inc.;Radiology;LLZ;K172768
13.09.2019;K192304;SIS Software Version 3.6.0;Surgical Information Sciences, Inc.;Radiology;LLZ;K183019
11.09.2019;K183370;PeraMobile and PeraWatch;PeraHealth, Inc.;Cardiovascular;MWI;K172959
11.09.2019;K190815;BrainScope TBI;BrainScope Company, Inc.;Neurology;PIW;K183241
10.09.2019;K183268;AI-Rad Companion (Cardiovascular);Siemens Medical Solutions USA, Inc.;Radiology;JAK;K990426,K123585
04.09.2019;K191179;Myo Plus;Otto Bock Healthcare Products GmbH;Neurology;GXY;K182112
29.08.2019;K183489;D2P;3D Systems, Inc.;Radiology;LLZ;K161841
29.08.2019;K192107;Clarius Ultrasound Scanner;Clarius Mobile Health Corp.;Radiology;IYN;K180799
23.08.2019;K190593;Zio XT ECG Monitoring System, Zio AT ECG Monitoring System;iRhythm Technologies, Inc.;Cardiovascular;DQK;K181502
15.08.2019;K190925;HeartFlow FFRct Analysis;HeartFlow, Inc.;Cardiovascular;PJA;K182035
15.08.2019;K183282;Biovitals Analytics Engine;Biofourmis Singapore Pte. Ltd;Cardiovascular;PLB;K142512
12.08.2019;K183182;Critical Care Suite;GE Medical Systems, LLC.;Radiology;QFM;K190362
05.08.2019;K191262;aBSI;EXINI Diagnostics AB;Radiology;LLZ;K122205
31.07.2019;K191183;EyeBOX;Oculogica, Inc.;Neurology;QEA;DEN170091
26.07.2019;K183271;AI-Rad Companion (Pulmonary);Siemens Medical Solutions USA, Inc.;Radiology;JAK;K123540
26.07.2019;K182384;ACR LAB Urine Analysis Test System;Healthy.io Ltd;Clinical Chemistry;JFY;k142391
19.07.2019;K182798;KIDScore D3;Vitrolife A/S;Obstetrics and Gynecology;PBH;K142147
18.07.2019;K191370;DreaMed Advisor Pro;DreaMed Diabetes Ltd;Clinical Chemistry;QCC;DEN 170043
12.07.2019;K191585;iNtuition-Structural Heart Module;TeraRecon Inc.;Radiology;LLZ;K121916
10.07.2019;K182875;DeepCT;Deep01 Limited;Radiology;QAS;K180647
10.07.2019;K183322;physIQ Heart Rhythm and Respiratory Module;physIQ, Inc;Cardiovascular;DPS;K180234
08.07.2019;K191384;RayCare 2.3;RaySearch Laboratories AB (publ);Radiology;MUJ;K183034
05.07.2019;K182901;Aquilion Precision (TSX-304A/1 and /2) V8.8 with AiCE;Canon Medical Systems Corporation;Radiology;JAK;K173468
03.07.2019;K190442;Koios DS for Breast;Koios Medical, Inc.;Radiology;POK;K161959
27.06.2019;K190017;LiverMultiScan (LMSv3);Perspectum Diagnostics Ltd;Radiology;LNH;K172685
25.06.2019;K191194;CLARUS;Carl Zeiss Meditec, Inc;Ophthalmic;QER;K181444
19.06.2019;K190387;RayStation;RaySearch Laboratories AB (publ);Radiology;MUJ;K180379
13.06.2019;K183460;ClariCT.AI;ClariPI Inc.;Radiology;LLZ;K160852
13.06.2019;K190424;HealthICH;Zebra Medical Vision Ltd.;Radiology;QAS;K182177
12.06.2019;K183046;Aquilion ONE (TSX-305A/6) V8.9 with AiCE;Canon Medical Systems Corporation;Radiology;JAK;K170177
31.05.2019;K190896;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K180647
24.05.2019;K191083;COMPLETE CONTROL System Gen2;Coapt, LLC;Neurology;GXY;K162891
21.05.2019;K183646;Acumen Hypotension Prediction Index (HPI);Edwards Lifeciences, LLC;Cardiovascular;QAQ;DEN160044
15.05.2019;K183648;APAS Independence with Urine Analysis Module;Clever Culture Systems AG;Microbiology;PPU;DEN150059
13.05.2019;K190764;SurgicalAR;MEDIVIS, Inc.;Radiology;LLZ;K163232
06.05.2019;K190362;HealthPNX;Zebra Medical Vision Ltd.;Radiology;QFM;K183285
22.04.2019;K182513;FluChip-8G Influenza A+B Assay;InDevR, Inc.;Microbiology;OZE;first sample
18.04.2019;K183593;Lung Vision System;Body Vision Medical Ltd.;Radiology;LLZ;K163622
17.04.2019;K181988;eMurmur ID;CSD Labs GmbH;Cardiovascular;DQD;K131044,K121617
15.04.2019;K190072;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K180647
12.04.2019;K183202;Deep Learning Image Reconstruction;GE Medical Systems, LLC.;Radiology;JAK;K133640,K163213
08.04.2019;K183204;Bone VCAR (BVCAR);GE Medical Systems SCS;Radiology;JAK;K123584
29.03.2019;K181352;Loop System;Spry Health, Inc.;Cardiovascular;DQA;K181956
19.03.2019;K183019;SIS Software version 3.3.0;Surgical Information Sciences, Inc.;Radiology;LLZ;K162830
11.03.2019;K181823;KardiaAI;AliveCor, Inc.;Cardiovascular;DQK;K171816 ,K170568
08.03.2019;K183285;cmTriage;CureMetrix, Inc;Radiology;QFM;DEN170073
