Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
01.12.2023;K232856;Syngo Carbon Clinicals;Siemens Healthcare GmbH;Radiology;QIH;K230561
30.11.2023;K233545;EPIQ Series Diagnostic Ultrasound System;Philips Ultrasound LLC;Radiology;IYN;K231190
29.11.2023;K230179;6440 MyLabX90;Esaote S.p.A.;Radiology;IYN;K173291, K192157, K212021
28.11.2023;K232000;"syngo.via MI Workflows; Scenium; syngo MBF";Siemens Medical Solutions USA, Inc.;Radiology;QIH;K211459
28.11.2023;K231631;BriefCase-Quantification;Aidoc Medical, Ltd.;Radiology;JAK;K210085
27.11.2023;K233243;ClearPoint System (Software Version 2.2);ClearPoint Neuro Inc.;Neurology;HAW;K222519
21.11.2023;K232496;Brainomix 360 Triage Stroke;Brainomix Limited;Radiology;QAS;K222884
17.11.2023;K232501;AI Platform (AIP001);Exo Inc;Radiology;QIH;K210053
15.11.2023;K232841;Axial3D Insight;Axial Medical Printing Limited;Radiology;QIH;K222745
14.11.2023;K232494;"MAGNETOM Avanto fit; MAGNETOM Skyra fit";Siemens Medical Solutions USA, Inc.;Radiology;LNH;K213693 , K22173
13.11.2023;K232083;BriefCase-Quantification;Aidoc Medical, Ltd.;Radiology;QIH;K211222
13.11.2023;K232257;Clarius Bladder AI;Clarius Mobile Health Corp.;Radiology;QIH;K230497
09.11.2023;K223754;BraveCX;Bering Ltd;Radiology;QFM;K211733
09.11.2023;K231617;"MAGNETOM Free.Max; MAGNETOM Free.Star";Siemens Medical Solutions USA, Inc.;Radiology;LNH;K220575
08.11.2023;K230534;BriefCase-Quantification;Aidoc Medical, Ltd.;Radiology;QIH;K221100
08.11.2023;K231765;Contour ProtégéAI;MIM Software Inc.;Radiology;QKB;K223774
07.11.2023;K231966;LOGIQ E10;GE Medical Systems Ultrasound and Primary care Diagnostics,;Radiology;IYN;K211488
07.11.2023;K231989;LOGIQ E10s, LOGIQ Fortis;GE Medical Systems Ultrasound and Primary Care Diagnostic,;Radiology;IYN;K211524
06.11.2023;K231470;Lunit INSIGHT DBT;Lunit Inc.;Radiology;QDQ;K211678
03.11.2023;K231955;aprevo® Digital Segmentation;Carlsmed, Inc.;Radiology;QIH;K183105
30.10.2023;K231965;Voluson Expert 22, Voluson Expert 20, Voluson Expert 18;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K220358
30.10.2023;K232145;ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System;Siemens Medical Solutions USA, Inc.;Radiology;IYN;K223735
30.10.2023;K232751;BriefCase-Triage;Aidoc Medical, Ltd.;Radiology;QAS;K220499
27.10.2023;K230854;SwiftMR;AIRS Medical Inc.;Radiology;LLZ;K210999
27.10.2023;K232045;MeVis Liver Suite;MeVis Medical Solutions AG;Radiology;JAK;K133643
26.10.2023;K232500;Lumify Diagnostic Ultrasound System;Philips Ultrasound;Radiology;IYN;K162549
25.10.2023;K230842;SignalHF (IM008);Implicity Inc.;Cardiovascular;QNL;K203224
25.10.2023;K232436;Rapid SDH;iSchemaView, Inc.;Radiology;QAS;K221456
23.10.2023;K231764;Ultrasound System 1300;BK Medical Aps;Radiology;IYN;K173569
23.10.2023;K231560;"MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit";Siemens Medical Solutions USA, Inc.;Radiology;LNH;K213693
23.10.2023;K232305;AI-Rad Companion Brain MR;Siemens Medical Solutions U.S.A.;Radiology;QIH;K213706
20.10.2023;K230209;Sonix Health;Ontact Health Co., Ltd.;Radiology;QIH;K213544
13.10.2023;K230370;SpotLight/SpotLight Duo (with DLIR option);Arineta Ltd.;Radiology;JAK;K213465
13.10.2023;K231642;Veuron-Brain-pAb3;Heuron Co., Ltd.;Radiology;LLZ;K213801
11.10.2023;K230220;NeuViz 128 Multi-Slice CT Scanner System;Neusoft Medical Systems Co., Ltd.;Radiology;JAK;K151383
06.10.2023;K232760;Swoop® Portable MR Imaging System®;Hyperfine, Inc.;Radiology;LNH;K230208
06.10.2023;K232787;ScanNav Anatomy Peripheral Nerve Block;Intelligent Ultrasound Limited;Anesthesiology;QRG;DEN220024
06.10.2023;K223905;Vivio® LVEDP System;Avicena, LLC;Cardiovascular;QUO;K222463
06.10.2023;K230144;Denti.AI Detect;Denti.AI Technology, Inc.;Radiology;MYN;K210365 , K210187
05.10.2023;K231001;DeepTek CXR Analyzer v1.0;DeepTek Medical Imaging Pvt Ltd;Radiology;MYN;K210666
05.10.2023;K232367;cmAngio® V1.0;CureMetrix, Inc.;Radiology;QIH;K192854 , K210365
05.10.2023;K232704;Clarius Ultrasound Scanner;Clarius Mobile Health Corp.;Radiology;IYN;K213436
04.10.2023;K231025;EFAI NeuroSuite CT ICH Assessment System;Ever Fortune.AI Co., Ltd.;Radiology;QAS;K192167
04.10.2023;K231398;VUNO Med-DeepBrain;VUNO Inc.;Radiology;QIH;K171328
04.10.2023;K232023;Momentum Spine;Momentum Health Inc.;Radiology;LDK;K923792
03.10.2023;K230085;Lung-CAD;Imagen Technologies, Inc;Radiology;MYN;K210666
